target_fraction,incremental_per_person,random_per_person,qini_gain_per_person
0.4,0.0011078525611962638,0.0005418425107767335,0.0005660100504195304
0.41000000000000003,0.0011081445400167509,0.0005553885735461518,0.000552755966470599
0.42,0.0011081445400167509,0.0005689346363155701,0.0005392099037011807
0.43,0.0011081445400167509,0.0005824806990849884,0.0005256638409317625
0.44,0.0011081445400167509,0.0005960267618544068,0.0005121177781623441
0.45,0.0011081445400167509,0.0006095728246238251,0.0004985717153929257
0.46,0.0011081445400167509,0.0006231188873932435,0.00048502565262350736
0.47000000000000003,0.0011077504542844098,0.0006366649501626618,0.00047108550412174803
0.48,0.001106205525908263,0.00065021101293208,0.00045599451297618295
0.49,0.0011046605975321162,0.0006637570757014984,0.00044090352183061776
0.5,0.0011031156691559693,0.0006773031384709168,0.00042581253068505256
0.51,0.0011015707407798225,0.0006908492012403352,0.0004107215395394874
0.52,0.0011009696671657055,0.0007043952640097535,0.000396574403155952
0.53,0.0011051284383263135,0.0007179413267791718,0.00038718711154714174
0.54,0.0011066562888364508,0.0007314873895485902,0.0003751688992878606
0.55,0.0011067094268051253,0.0007450334523180085,0.00036167597448711676
0.56,0.001109472282454348,0.0007585795150874269,0.000350892767366921
0.5700000000000001,0.001111177434514743,0.0007721255778568452,0.0003390518566578979
0.58,0.0011128825865751382,0.0007856716406262635,0.00032721094594887477
0.59,0.0011145877386355334,0.0007992177033956817,0.00031537003523985166
0.6,0.0011163404998985502,0.0008127637661651001,0.00030357673373345015
0.61,0.0011186522485473658,0.0008263098289345185,0.0002923424196128473
0.62,0.0011209639971961815,0.0008398558917039368,0.0002811081054922447
0.63,0.0011214338693797995,0.0008534019544733551,0.0002680319149064444
0.64,0.0011154518885418733,0.0008669480172427735,0.0002485038712990998
0.65,0.0011094812971862637,0.0008804940800121919,0.00022898721717407185
0.66,0.0011094812971862637,0.0008940401427816102,0.00021544115440465348
0.67,0.0011095529393418914,0.0009075862055510285,0.00020196673379086285
0.68,0.0011098123672125405,0.0009211322683204469,0.0001886800988920936
0.6900000000000001,0.0011100717950831896,0.0009346783310898653,0.00017539346399332437
0.7000000000000001,0.0011103312229538388,0.0009482243938592836,0.00016210682909455513
0.71,0.001110590650824488,0.0009617704566287018,0.0001488201941957861
0.72,0.001110850078695137,0.0009753165193981202,0.00013553355929701687
0.73,0.0011111095065657862,0.0009888625821675384,0.00012224692439824774
0.74,0.0011113689344364353,0.001002408644936957,0.00010896028949947839
0.75,0.0011115847889826458,0.0010159547077063752,9.563008127627063e-05
0.76,0.0011115847889826458,0.0010295007704757934,8.208401850685236e-05
0.77,0.0011115847889826458,0.001043046833245212,6.853795573743388e-05
0.78,0.0011115847889826458,0.0010565928960146302,5.4991892968015614e-05
0.79,0.0011115847889826458,0.0010701389587840487,4.144583019859713e-05
0.8,0.0011115847889826458,0.001083685021553467,2.7899767429178865e-05
0.81,0.0011115847889826458,0.0010972310843228852,1.4353704659760599e-05
0.8200000000000001,0.0011115847889826458,0.0011107771470923037,8.076418903421156e-07
0.8300000000000001,0.0011115847889826458,0.001124323209861722,-1.273842087907615e-05
0.84,0.0011124354637289872,0.0011378692726311402,-2.5433808902152995e-05
0.85,0.0011157917725754098,0.0011514153354005585,-3.562356282514872e-05
0.86,0.001119998756168174,0.0011649613981699768,-4.49626420018028e-05
0.87,0.0011212443033852444,0.0011785074609393952,-5.726315755415082e-05
0.88,0.001122102247964556,0.0011920535237088135,-6.995127574425746e-05
0.89,0.001124205739760938,0.001205599586478232,-8.139384671729407e-05
0.9,0.0011277339278414954,0.0012191456492476503,-9.141172140615487e-05
0.91,0.0011305162151500842,0.0012326917120170685,-0.00010217549686698433
