window_days,metric,method_a,method_b,cohort_campaigns,paired_campaigns,spearman_rho,mean_absolute_rank_change,max_absolute_rank_change,campaigns_with_rank_change,top10_a,top10_b,top10_overlap,top10_jaccard
7,transformed_cost_per_attributed_conversion,first_click_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,transformed_cost_per_attributed_conversion,first_click_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,transformed_cost_per_attributed_conversion,first_click_proxy,publisher,286,286,0.8586271238389339,31.307692307692307,143.0,278,10,10,9,0.8181818181818182
7,transformed_cost_per_attributed_conversion,last_click_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,transformed_cost_per_attributed_conversion,last_click_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,transformed_cost_per_attributed_conversion,last_click_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,transformed_cost_per_attributed_conversion,last_click_proxy,publisher,286,286,0.8586271238389339,31.307692307692307,143.0,278,10,10,9,0.8181818181818182
7,transformed_cost_per_attributed_conversion,linear_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,transformed_cost_per_attributed_conversion,linear_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,transformed_cost_per_attributed_conversion,linear_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,transformed_cost_per_attributed_conversion,linear_proxy,publisher,286,286,0.8586271238389339,31.307692307692307,143.0,278,10,10,9,0.8181818181818182
7,transformed_cost_per_attributed_conversion,publisher,first_click_proxy,286,286,0.8586271238389339,31.307692307692307,143.0,278,10,10,9,0.8181818181818182
7,transformed_cost_per_attributed_conversion,publisher,last_click_proxy,286,286,0.8586271238389339,31.307692307692307,143.0,278,10,10,9,0.8181818181818182
7,transformed_cost_per_attributed_conversion,publisher,linear_proxy,286,286,0.8586271238389339,31.307692307692307,143.0,278,10,10,9,0.8181818181818182
7,transformed_cost_per_attributed_conversion,publisher,publisher,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,attributed_conversion_share,first_click_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,attributed_conversion_share,first_click_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,attributed_conversion_share,first_click_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,attributed_conversion_share,first_click_proxy,publisher,286,286,0.4218888681280836,69.87062937062937,250.0,285,10,10,1,0.05263157894736842
7,attributed_conversion_share,last_click_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,attributed_conversion_share,last_click_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,attributed_conversion_share,last_click_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,attributed_conversion_share,last_click_proxy,publisher,286,286,0.4218888681280836,69.87062937062937,250.0,285,10,10,1,0.05263157894736842
7,attributed_conversion_share,linear_proxy,first_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,attributed_conversion_share,linear_proxy,last_click_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,attributed_conversion_share,linear_proxy,linear_proxy,286,286,1.0,0.0,0.0,0,10,10,10,1.0
7,attributed_conversion_share,linear_proxy,publisher,286,286,0.4218888681280836,69.87062937062937,250.0,285,10,10,1,0.05263157894736842
7,attributed_conversion_share,publisher,first_click_proxy,286,286,0.4218888681280836,69.87062937062937,250.0,285,10,10,1,0.05263157894736842
7,attributed_conversion_share,publisher,last_click_proxy,286,286,0.4218888681280836,69.87062937062937,250.0,285,10,10,1,0.05263157894736842
7,attributed_conversion_share,publisher,linear_proxy,286,286,0.4218888681280836,69.87062937062937,250.0,285,10,10,1,0.05263157894736842
7,attributed_conversion_share,publisher,publisher,286,286,1.0,0.0,0.0,0,10,10,10,1.0
14,credited_conversions,first_click_proxy,first_click_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
14,credited_conversions,first_click_proxy,last_click_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
14,credited_conversions,first_click_proxy,linear_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
14,credited_conversions,first_click_proxy,publisher,286,286,0.9308245965320217,22.68881118881119,101.0,279,10,10,9,0.8181818181818182
14,credited_conversions,last_click_proxy,first_click_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
14,credited_conversions,last_click_proxy,last_click_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
14,credited_conversions,last_click_proxy,linear_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
14,credited_conversions,last_click_proxy,publisher,286,286,0.9308245965320217,22.68881118881119,101.0,279,10,10,9,0.8181818181818182
14,credited_conversions,linear_proxy,first_click_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
14,credited_conversions,linear_proxy,last_click_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
14,credited_conversions,linear_proxy,linear_proxy,286,286,0.9999999999999998,0.0,0.0,0,10,10,10,1.0
