arm,dimension,level,metric,n_treatment,n_control,treatment_mean,control_mean,effect,se,ci_low,ci_high,p_value,relative_lift,incremental_total,incremental_total_ci_low,incremental_total_ci_high,versus_rest_effect,interaction_p,interaction_q_bh
Mens E-Mail,channel,Multichannel,conversion,2577,2606,0.017074117190531625,0.006907137375287797,0.010166979815243827,0.003024592420165238,0.0042817881956203376,0.01646709829669644,0.0007618181165847434,1.4719527443625229,26.20030698388334,11.03416818011361,42.43571231058673,0.0038224440394715956,0.2284229527793532,0.5260649821585104
Mens E-Mail,channel,Phone,conversion,9240,9327,0.010822510822510822,0.005360780529645117,0.005461730292865705,0.0013154680731504928,0.002901033131991348,0.008119176737570219,3.228188752852337e-05,1.0188311688311686,50.46638790607912,26.805546139600054,75.02119305514883,-0.0023671480016702433,0.19659267997527052,0.5102119213572741
Mens E-Mail,channel,Web,conversion,9490,9373,0.012961011591148578,0.005761229062199936,0.007199782528948642,0.0013997790447830922,0.0044779554015602924,0.010020606687091973,2.9275650865096914e-07,1.249695585996956,68.3259361997226,42.495796760807174,95.09555746050283,0.0007124317587911448,0.7014267132233976,0.8329442219527846
Mens E-Mail,channel,Multichannel,revenue,2577,2606,1.824870003880481,0.6157405986185724,1.2091294052619086,0.4173863409053573,0.3908133568197302,2.027445453704087,0.0037895856589336774,1.9636993369847904,3115.9264773599384,1007.1260205244447,5224.726934195432,0.49981005513871124,0.2616023873184563,0.5680508981772194
Mens E-Mail,channel,Phone,revenue,9240,9327,1.2085270562770565,0.6444526643079231,0.5640743919691333,0.2055719893237045,0.1611318695232567,0.96701691441501,0.00607731323259032,0.8752766854876642,5212.047381794792,1488.8584743948918,8935.236289194692,-0.36319529595252054,0.2081127573957302,0.5102119213572741
Mens E-Mail,channel,Web,revenue,9490,9373,1.5218345626975762,0.6713858956577403,0.8504486670398359,0.23125845884025434,0.3971560274218549,1.303741306657817,0.00023632177099869604,1.2667061857274677,8070.757850208042,3769.010700233403,12372.505000182682,0.14569457101126415,0.6225455575076447,0.78855770617635
Mens E-Mail,history_segment,1) $0 - $100,conversion,7724,7612,0.009192128430864838,0.004203888596952181,0.004988239833912657,0.0013150318480882664,0.0024239766425709647,0.00766976757987342,0.00015589461902370698,1.1865775504919733,38.529164477141364,18.722795587218133,59.241284786942295,-0.002869340713580747,0.11164617477206548,0.4957456233435271
Mens E-Mail,history_segment,2) $100 - $200,conversion,4691,4836,0.008953314858239182,0.0041356492969396195,0.004817665561299562,0.00165642671213382,0.001588230784887019,0.008266514629895898,0.003458857301556881,1.1649115327222341,22.599669148056247,7.450390611905006,38.77822012884166,-0.002530421256506349,0.20131169911423252,0.5102119213572741
Mens E-Mail,history_segment,3) $200 - $350,conversion,4090,4044,0.015403422982885086,0.006923837784371909,0.008479585198513176,0.0023258774584011196,0.003942761172310527,0.013237018223604236,0.00027744163246441403,1.2246943765281173,34.681503461918886,16.125893194750056,54.13940453454132,0.0020763182574735604,0.41192593644504794,0.6956971371071922
Mens E-Mail,history_segment,4) $350 - $500,conversion,2097,2124,0.020028612303290415,0.011299435028248588,0.008729177275041827,0.003824460747890629,0.001205638375795768,0.016584581774592794,0.022277746698869266,0.7725321888412017,18.305084745762713,2.5282236740437254,34.77786798132109,0.002125483926617563,0.5892134268606082,0.7720727662311417
